Tickers,#Number of shs,HKD Notional
1288,4941000,14865380
1299,1060400,87911200
1302,92000,274620
1308,643000,11524820
1310,105500,631515
1313,294000,1060600
1316,50000,227910
1336,794600,16603810
1339,3527000,10141260
1347,1152000,41518050
1357,1727500,3632525
1359,1876000,1742380
1361,350000,1542730
1368,120500,1091140
1375,69000,81260
1378,461500,3723445
1381,46000,177370
1385,265000,6665800
1398,18290000,77376230
1415,74000,1174880
1448,129000,792000
1458,401000,1455595
1468,110000,207200
1475,30000,206700
1477,44000,397140
1478,11000,42720
1503,16000,32320
1513,4200,118225
1515,249000,1885795
1516,388000,1165770
1521,60000,150540
1528,27200,93248
1530,11500,90435
1548,2016000,44707700
1558,2600,18610
1563,116000,701570
1579,269000,5461100
1585,444000,8142960
1600,16000,80580
1610,1106000,2225380
1618,7000,15750
1658,3745000,18753760
1666,92000,714090
1668,56000,28000
1672,85000,225810
1675,800,11616
1686,4000,18290
1691,84500,586945
1696,2400,29936
1717,1000,3920
1733,10000,13740
1755,22000,119580
1760,59000,323370
1765,100000,59000
1766,256000,1273330
1772,655200,34377660
1773,30000,70180
1776,364200,4074812
1787,45250,752005
1789,202000,2159560
1797,761500,23782900
1798,1939000,6232670
1799,216400,4620620
1800,275000,1421180
1801,194000,7662650
1810,8477800,96707140
1811,18000,45440
1812,56000,136385
1813,729500,785245
1816,3283000,6420430
1818,498500,6255250
1821,102800,1292676
1833,446400,8621850
1860,53000,204360
1866,28000,110640
1873,244500,394110
1876,149800,3481700
1877,131400,4316740
1880,98600,17229830
1882,13000,261950
1883,13000,41900
1888,113500,929080
1896,34600,311740
1898,2244000,14943750
1907,29000,107210
1908,112000,2714950
1910,177300,4479090
1913,1800,107110
1918,20000,37000
1919,2248500,21488490
1928,1285600,37060960
1929,361600,5608484
1951,2635500,13580825
1952,168500,2512120
1958,58500,129545
1963,32000,139825
1966,215000,144060
1967,1200,27440
1972,15800,319780
1988,128000,360985
1992,91000,822702
1997,64000,2830100
1999,182400,1213404
2001,27000,71830
2005,168000,934120
2007,34002000,70271500
2013,765000,3041050
2015,402100,36634900
2018,410500,6777400
2020,471600,46673960
2039,2500,12826
2057,150,33250
2096,221000,2227340
2099,121600,4772360
2121,12100,240094
2128,66000,444580
2137,181500,810600
2138,27000,149250
2150,58000,441085
2155,21000,178980
2160,105000,249580
2163,3300,12738
2171,48000,630560
2179,500,7110
2186,103000,408510
2191,8000,22960
2192,34500,311985
2196,286500,6760750
2197,301000,601710
2202,425200,5167962
2208,67400,438466
2233,2000,2020
2238,886000,4288560
2252,14000,355925
2255,1864000,2874350
2257,600,32947
2269,1055000,53099975
2273,3700,196120
2282,122000,1280664
2285,24200,968140
2313,230800,17543170
2314,187000,625970
2315,500,12450
2318,2681500,142839325
2319,354000,11009600
2328,1144000,10450720
2331,1190500,68595950
2333,6230500,56576820
2338,913000,10570020
2342,128000,203500
2343,3726000,11944960
2356,800,5088
2357,1528000,6406120
2359,225400,17452925
2362,284000,164550
2380,2691000,8089790
2382,305300,25945320
2386,93500,379130
2388,527000,13168925
2390,1800,32184
2400,108400,2550740
2423,10700,484550
2500,16000,178140
2588,33200,2055765
2600,634000,2888880
2601,1576400,37682570
2602,2300,81165
2607,19300,303548
2611,2600,26044
2616,55000,193455
2618,236800,2913828
2628,3095000,44173120
2638,6000,29620
2666,4500,23255
2669,80000,675700
2678,35500,207850
2688,174400,18907320
2689,1335000,8176550
2727,28000,56820
2777,142400,226956
2778,125000,409200
2799,246000,102090
2800,38988500,789325660
2801,16400,335536
2806,3100,158680
2820,1000,67700
2822,736000,9931540
2823,1516700,21404137
2826,200,12120
2828,25303400,1726866700
2837,44400,214540
2840,210,303660
2845,54350,5625100
2866,29000,30720
2869,296000,1453540
2883,980000,8785960
2888,27750,1713365
2899,1848000,24545320
3031,100,995
3032,289200,1140946
3033,483271400,1890254674
3037,32200,656538
3067,1562100,12989664
3068,21500,247141
3069,1700,22360
3070,500,13306
3072,110,10265
3088,872000,4378280
3091,1200,95760
3096,55,45864
3109,8300,91180
3115,200,14448
3134,12000,91737
3135,50,599
3136,100,1220
3151,24400,193796
3188,606800,28249412
3189,800,1943
3191,8300,381142
3306,3000,25310
3309,2000,8700
3311,124000,1183080
3319,17000,108920
3320,475000,3336450
3323,956000,5729700
3328,1344000,6812610
3331,36000,790750
3347,126200,9411875
3360,35000,246060
3377,890000,671105
3380,127000,127070
3383,1572000,2540340
3396,11200,93672
3403,30,1429
3606,109600,3501100
3613,45000,721400
3618,54000,159040
3633,11000,66150
3668,8400,246290
3669,56000,280650
3690,1692900,234747060
3692,372000,5478720
3709,2000,21920
3738,1343000,3984520
3759,143100,4800840
3799,362000,1180725
3800,8437000,17479980
3808,251000,2896700
3868,462000,1019640
3877,34000,45320
3888,365200,12648390
3898,15400,496815
3899,78000,558100
3900,422500,4179165
3908,341200,5577456
3913,852000,915350
3918,10000,61920
3931,27300,554581
3933,112000,714260
3948,46500,729044
3958,24800,113008
3968,562500,22612250
3969,70000,244630
3988,31377000,97865400
3990,18000,171428
3993,1230000,6488880
3998,188000,740680
6030,405500,6703490
6049,19600,918340
6055,27000,268660
6060,101800,2591960
6066,188500,1483320
6069,8500,52385
6078,26000,1448920
6088,2879000,4594010
6098,1564000,20355340
6099,14600,111704
6100,230200,2321720
6110,224000,1622730
6127,31100,1044125
6160,18000,2800230
6169,34000,46580
6178,20000,111402
6185,198000,8283040
6186,254000,1360800
6196,167000,178690
6606,202000,5689225
6608,500,5390
6616,10000,43550
6618,511800,28869442
6639,30000,357090
6655,25100,210777
6690,2235200,55259090
6699,59400,5946490
6808,191000,620940
6818,84000,207540
6821,17800,1844800
6823,4000,40500
6837,170800,883004
6855,10100,243700
6862,849000,15951900
6865,339000,7328400
6869,122500,2019600
6881,294500,1216720
6886,109200,1110080
6969,1236000,11408180
6978,10000,38470
6996,29500,81550
7200,25918000,114403201
7226,23595000,117634097
7233,375000,1964084
7248,21400,77996
7288,8000,19888
7299,25400,207137
7300,3300,17384
7333,4500,32085
7348,200,1812
7500,2043900,10296852
7552,16374800,111780484
7568,73700,952418
7588,17800,87313
NON-HKD Stock/ETF,9067,ISHARESHSTECH-U,352400,373632
9618,623300,86661215
9626,66280,10707902
9633,356200,15047840
9658,12000,193420
9666,18700,223600
9668,84500,107490
9688,50900,1444220
9696,262400,13722010
9698,171100,2740478
NON-HKD Stock/ETF,9801,ISHARES,CHINA-U,200,520
NON-HKD Stock/ETF,9806,GX,CN,CONSUME-U,18300,119297
NON-HKD Stock/ETF,9845,GX,CN,EV,BATT-U,21800,287867
9858,8000,16400
9863,42700,1553035
9866,33180,2187763
9868,1377900,50996755
9869,300500,3787290
9878,600,18895
9886,6500,21140
9888,226050,27746145
9898,3180,418062
9899,800,56500
9901,583100,20165290
9909,8000,39820
9922,203000,3490500
9923,44000,947300
9926,92000,3931150
9939,69000,396320
9955,25100,248660
9959,69500,207160
9961,37300,10688600
9966,111000,1757240
9969,275000,2632600
9979,6000,44820
9987,550,267770
9988,1911300,166935900
9989,10500,56450
9990,230000,1204410
9991,5100,63312
9992,400400,7175956
9993,2000,8180
9995,97000,4785425
9996,18000,184400
9997,41500,428730
9999,467600,67279090
