Tickers,#Number of shs,HKD Notional
1,472500,24245225
2,153000,8820375
3,696000,4760950
4,38000,675220
5,734000,40770440
6,32500,1414300
8,57000,230660
10,15000,205420
11,30800,3520300
12,431000,11410900
13,151000,4031400
14,8000,183850
16,52500,5614000
17,120000,2413600
19,51000,2973000
20,41559000,102722660
23,28800,293020
27,943000,53940300
35,8000,15880
38,6000,24100
41,3000,47060
66,74500,2873325
69,2000,14780
81,1819000,8266050
83,110000,1173640
87,30000,286550
101,297000,4242000
116,10000,104000
119,136000,277080
123,2494000,26514360
135,2842000,19092820
136,2040000,3823680
144,32000,373320
148,14000,334750
151,138000,701530
152,12000,85585
165,54000,295660
168,2000,164500
173,8000,21880
175,3658000,35341980
177,8000,62460
179,5500,49005
182,10000,7000
189,145000,1169880
200,77000,718760
220,95000,739150
241,4316000,24875220
242,4000,5780
257,331000,1055410
267,329000,3179440
268,422000,5004840
270,74000,573820
272,9000,8595
285,145000,3270075
286,66000,34320
288,1200000,5509130
291,318000,19458800
293,28000,216050
297,280000,271620
302,6000,14700
303,3400,153110
308,22000,37180
315,4500,21905
316,20000,3292600
317,30000,320440
322,204000,2739440
323,46000,78660
327,6000,39120
330,15000,9900
336,76000,288810
338,268000,366860
345,138000,1963080
347,1668000,4350280
354,646000,3383580
357,14000,250460
358,366000,5294640
363,2000,22360
371,148000,281060
384,107000,1068958
386,30758000,157531960
388,250200,82807140
390,1312000,7710730
392,9000,280500
405,178000,361160
410,16500,21935
412,1000,4700
425,18000,408900
440,400,8040
460,17000,13770
467,508000,576560
489,506000,1807500
512,531000,2728265
520,57500,346430
522,6600,479045
535,26000,14040
546,37000,166510
548,42000,307820
551,3000,33840
552,36000,149900
558,350000,2993600
564,8000,69600
570,758000,3239640
576,74000,493560
579,34000,68520
580,4000,7040
581,34000,43520
586,70000,904790
587,356000,885420
590,2000,51350
598,74000,193240
604,148000,226840
607,597500,64332
631,109000,1035240
636,5500,61370
639,222000,586720
650,24000,20840
656,131000,718200
658,70000,187580
667,125500,513040
669,359000,29233075
670,88000,278880
683,61000,1196090
688,1433500,28776750
694,28000,165220
696,37000,563960
697,32000,62800
700,1550600,537668640
709,6000,14120
710,79000,1087440
728,990000,4324820
732,302000,310840
743,4000,13905
751,98000,385140
753,1152000,8113680
754,25200,177133
762,1740000,10805620
763,2149000,56629010
772,326400,11898450
777,92500,1387210
778,3000,19750
780,154400,2678040
788,3398000,3330040
799,1609000,9533520
806,39000,98830
808,7000,13790
817,2528000,3863680
818,9000,6570
819,58000,569640
823,217500,11047820
826,38000,86500
830,40000,109900
836,58000,968520
839,38000,276340
853,62300,1138656
855,4000,25720
856,62000,261520
857,13886000,73065940
860,196000,22736
861,105000,355220
867,7000,93940
868,518000,7655780
873,613000,1174450
874,16000,414400
880,853000,3425510
881,67500,2273450
883,4449000,55318760
902,2904000,12970240
909,598000,2448660
914,36000,919975
916,142000,1221760
921,41000,740580
939,33353000,174623200
941,973500,65476375
956,46000,156300
960,264000,5876350
966,46000,408910
968,1058000,9143040
973,10250,205082
981,2873000,66132675
989,15000,7050
990,120000,105600
991,40000,60720
992,3402000,28760860
995,8000,63680
998,933000,3865350
1003,10000,10200
1024,1047600,52574075
1030,1602000,2906480
1038,32000,1401775
1044,169500,6220700
1055,38000,205760
1060,980000,483300
1066,17600,233128
1070,80000,279990
1071,326000,1169460
1072,7400,85364
1083,121000,443080
1088,591000,15020150
1093,3260000,26623120
1099,297200,8189760
1108,2000,15380
1109,362000,13479200
1112,26000,345330
1113,207500,9483450
1117,423000,427490
1119,110800,403212
1128,603600,5118160
1133,10000,36540
1137,160000,729890
1138,788000,6538180
1157,33200,139426
1164,10000,8300
1171,586000,15316500
1176,14000,10500
1177,3075000,13825410
1179,91300,3383925
1183,62000,94860
1186,428000,2882795
1193,49900,1316880
1196,52000,275260
1199,20000,98160
1208,124000,380520
1209,180400,7490950
1211,1435000,328751800
1233,14000,9240
1238,203000,248720
1250,3480000,220360
1258,4000,17260
1268,314000,3861960
