Tickers,#Number of shs,HKD Notional
2179,3500,51870
2186,43500,170175
2191,95000,274920
2192,8500,86400
2196,45000,1068250
2202,1490400,19691276
2208,322000,2245160
2233,6000,6240
2238,928000,4676280
2252,100000,2621025
2255,351000,587160
2269,1083000,58735075
2273,15900,879635
2282,224000,2357416
2285,10000,398610
2313,470500,38108860
2314,425000,1423960
2315,1000,25000
2318,3642500,202160025
2319,595000,19783800
2328,2576000,22670200
2331,1031000,60096600
2333,3365000,35706440
2338,340000,4132380
2342,14000,22600
2343,17048000,53681490
2356,3600,23076
2357,124000,514730
2359,266400,22319280
2362,146000,93720
2378,800,89280
2380,1681000,5263960
2382,440500,40383610
2386,6000,24320
2388,428500,10882275
2390,500,9610
2400,21400,550470
2423,22800,1084475
2500,36500,433170
2518,400,23880
2588,11000,681245
2600,2840000,13698680
2601,2217000,53200790
2602,6100,232165
2607,99900,1552614
2611,3600,36640
2616,11000,41480
2618,219900,2910032
2628,4964000,70723440
2638,14500,72155
2666,26500,130880
2669,25000,232250
2678,55500,337870
2688,22900,2413630
2689,255000,1562320
2727,28000,59640
2777,100800,175808
2778,43000,145940
2799,4157000,1767135
2800,38137000,794647140
2801,3200,68160
2806,600,31656
2807,50,2804
2809,12750,1441485
2812,56600,599394
NON-HKD Stock/ETF,2821,ABF,PAIF,180,19674
2822,760200,10677792
2823,1807100,26545251
2828,9267800,656295364
2845,35150,3911477
2866,107000,113420
2869,226000,1170960
2883,52000,441200
2888,61700,3822662
2899,1834000,26398280
3032,222600,930204
3033,112056400,463198578
3037,10000,209600
3040,9200,260912
3067,438800,3875698
3069,600,8106
3070,10100,271700
3088,499600,2649915
3109,16900,189174
3115,12300,917610
3134,5300,43142
3135,7000,89070
3151,10000,80900
3160,1800,26110
3174,1100,3601
3188,153200,7429896
3189,22200,56626
3191,9900,479328
3199,1000,118100
3309,12000,55560
3311,6000,56140
3319,295250,2063885
3320,185000,1213755
3323,1668000,10053120
3328,1016000,5277390
3331,111000,2440950
3347,63600,4951690
3360,6000,41980
3377,34000,29160
3380,160000,168110
3383,492000,892940
3403,11000,543840
3606,3200,106440
3613,44000,640880
3633,8000,45630
3668,45700,1417620
3669,17500,94375
3690,890000,120207380
3692,146000,2267200
3709,104000,1127190
3738,843000,2682580
3759,80200,3021140
3799,359500,1206450
3800,9001000,18761150
3808,13500,161190
3868,444000,1009760
3877,26000,34060
3888,1327200,46892710
3898,24700,849905
3899,184000,1372100
3900,232500,2534540
3908,720800,12261960
3913,79000,91240
3918,48000,297800
3931,24000,491885
3933,68000,388260
3958,25200,119992
3968,2984000,126616675
3969,137000,421900
3983,16000,33040
3988,39504000,125267930
3990,41600,421072
3993,6549000,33467640
3996,76000,85880
3998,1180000,4903220
6030,558000,9774800
6049,3000,147620
6055,7000,70720
6060,178900,4749105
6066,90000,752560
6069,7500,46470
6078,5200,312200
6088,373000,696110
6098,1835000,27725740
6099,18800,150202
6100,33400,357992
6110,305000,2307800
6127,44100,1545660
6160,81400,13220410
6169,82000,113160
6178,35800,208234
6185,11600,508310
6186,39000,225720
6606,231000,6904550
6608,17500,202010
6616,103000,468680
6618,178600,10393337
*,"40,300","1,448,570"
6639,23500,326580
6689,339700,7535105
6690,409200,10227930
6699,3200,360880
6806,3200,5184
6808,308500,949840
6818,1240000,3075700
6821,11200,1211140
6823,25000,261540
6837,1219200,6460132
6855,25900,656325
6862,273000,5525450
6865,258000,5828100
6869,48500,781980
6878,6864000,1114112
6881,276000,1184620
6886,372800,3783788
6969,350000,3512140
6978,3000,12820
6988,428000,434410
6993,2000,9920
6996,66500,194660
7200,13614900,64114563
7226,14503400,81230261
7233,74100,421266
7248,65700,259390
7261,700,11088
7288,1848900,4988194
7299,239200,1993284
7345,62000,257152
7500,16360300,77304856
7552,5219700,31905492
7568,14400,182835
7588,130800,595151
NON-HKD Stock/ETF,9067,ISHARESHSTECH-U,50400,56449
NON-HKD Stock/ETF,9115,ISHARESHSI-U,100,951
9618,268800,39730225
9626,211920,35907338
9633,197200,8576390
9658,9000,150920
9666,50300,640680
9668,74000,101745
9688,303600,9380655
9696,234000,13683100
9698,478700,8038754
NON-HKD Stock/ETF,9801,ISHARES,CHINA-U,1200,3259
NON-HKD Stock/ETF,9806,GX,CN,CONSUME-U,3000,20205
NON-HKD Stock/ETF,9809,GX,CN,CLN,EN-U,50,720
NON-HKD Stock/ETF,9820,GX,CN,BIOTECH-U,900,8113
NON-HKD Stock/ETF,9826,GX,CN,CLOUD-U,11800,95393
NON-HKD Stock/ETF,9845,GX,CN,EV,BATT-U,4450,63180
9858,6000,13140
9863,600,24030
9866,14330,1107928
9868,3441900,157481165
9869,295000,3690310
9886,73000,256870
9888,550900,71239715
9898,1600,225418
9899,1700,124235
9901,26500,806835
9909,1500,8405
9922,326000,6029060
9923,59600,1414200
9926,65000,2885750
9939,84500,523435
9955,33200,351882
9959,232500,759900
9961,89400,25718540
9966,61000,1026460
9969,917000,8873090
9979,24000,188450
9987,4500,2242360
9988,1701200,161419815
9989,1000,5590
9990,595000,3389790
9991,6400,79624
9992,179000,3501960
9995,99500,5060175
9996,34000,370040
9997,6500,68720
9999,413600,60364750
