Tickers,#Number of shs,HKD Notional
1,396500,20539500
2,120500,6977225
3,542000,3728540
4,47000,843840
5,795600,44928220
6,95500,4174875
8,77000,311980
10,5000,69500
11,37300,4291820
12,147000,3914850
13,119500,3123700
14,2000,46400
16,161500,17495700
17,183000,3732700
19,43500,2563025
20,58802000,152705160
23,31800,331012
27,1047000,59999300
34,3000,26010
38,12000,48140
50,2000,14360
66,76500,2975900
69,16000,119620
81,480000,2187460
83,118000,1266800
87,12500,119700
101,151000,2195780
116,6000,62280
119,153000,320450
123,2583000,28787420
135,380000,2492180
136,2216000,4124480
142,6000,15340
144,76000,892080
148,39500,973000
151,130000,677350
152,78000,559180
165,30000,168780
168,24000,2004300
173,36000,100440
175,1709000,16693070
177,2000,15800
179,7000,62785
189,150000,1229040
200,110000,1031340
215,50000,69500
220,44000,343570
241,6700000,37162600
242,36000,52720
257,442000,1441750
267,180000,1757630
268,192000,2376700
270,16000,124600
272,382000,366720
285,120500,2822775
286,182000,94640
288,1096500,5074175
291,280000,17360100
293,3000,23400
297,206000,203940
302,268000,672160
303,4100,185075
308,28000,48160
316,20000,3384600
317,14000,148040
322,518000,7005400
323,58000,102080
327,39000,255000
330,10000,6700
336,61000,235830
338,64000,89080
341,14000,156520
345,28000,413400
347,966000,2593140
354,2116000,11268540
357,3000,54340
358,46000,671120
363,8000,90020
371,996000,1893040
384,11400,116056
386,7576000,38723620
388,45100,15134600
390,2197000,13161930
392,39500,1243250
405,391000,799130
410,45500,59845
412,1000,4740
425,60000,1373500
435,13000,41010
460,621000,503010
467,566000,638020
489,182000,664840
512,299500,1471305
520,540000,3284915
522,1400,101850
535,4000,2200
546,599000,2701070
548,18000,133480
551,1500,16740
552,76000,315880
558,380000,3280825
564,12800,111980
570,1086000,4471040
576,4000,27120
579,32000,64440
580,88000,155440
581,40000,52800
586,131000,1717030
587,298000,761445
598,31000,81750
604,774000,1212200
607,857500,91645
631,19000,177580
636,181500,2051770
639,52000,137800
650,102000,87360
656,422000,2320980
658,71000,192170
659,6000,40720
665,5000,3400
667,8000,32750
669,471000,39450475
670,24000,77240
683,9000,180065
688,898000,18443100
694,30000,177120
696,39000,595140
697,48000,95640
700,571600,201398360
710,115000,1566820
728,2698000,11898620
732,246000,260760
751,6000,23820
753,590000,4324120
754,10900,77551
762,3320000,20978600
763,616600,16055780
772,139400,5084800
777,391500,5881030
778,20000,132120
780,164800,2935200
788,6646000,6513080
799,902000,5598590
806,24000,62100
808,3000,6000
817,2442000,3836320
818,144000,107400
819,34000,336620
823,254000,12895720
826,116000,265620
830,28000,74140
836,120000,2018960
839,58000,420730
853,252000,4656232
856,10000,43260
857,12768000,67192680
860,148000,16988
861,2000,6920
867,57000,767960
868,775000,11721360
873,321000,637710
874,8000,205500
880,1229000,4942670
881,82000,2873175
883,3577000,44920540
902,938000,4161660
909,986000,4132120
914,131500,3428050
916,49000,425940
921,14000,251620
939,40205000,213654220
941,713000,48557400
956,40000,137200
960,561500,13069875
966,32400,286654
968,8992000,77267260
973,31750,630180
981,2260500,56686400
990,190000,171700
991,118000,179920
992,5902000,52121440
995,84000,671160
998,1563000,6612180
1024,785200,38444080
1030,2066000,3910200
1033,6000,3900
1038,32000,1413625
1044,34500,1262750
1055,16000,89660
1060,6500000,3215600
1066,52400,697960
1070,85000,289980
1071,118000,417540
1072,7800,90008
1083,140000,519050
1088,903000,23251950
1093,1746000,13824900
1099,482800,13309860
1108,6000,47600
1109,2146000,82927800
1112,16000,212490
1113,143000,6652525
1117,55000,56100
1119,145600,535304
1121,2000,15800
1128,859600,7334804
1133,10000,37780
1137,16000,75130
1138,158000,1312220
1140,16000,5760
1157,24000,103576
1164,125000,106250
1171,340000,9051800
1176,22000,17420
1177,1478000,6622700
1179,104000,3931910
1183,4000,6080
1186,464500,3153165
1193,9800,260365
1196,52000,282640
1199,70000,351580
1208,448000,1433880
1209,142000,5992350
1211,843500,189810500
1233,85000,57690
1238,787000,1009410
1258,67000,304110
1268,154000,1996120
1288,13034000,40087000
1299,663400,55308920
1302,124000,366260
1308,424000,7641140
1310,189000,1150425
1313,448000,1652920
1316,60000,282450
