Tickers,#Number of shs,HKD Notional
1336,44800,910270
1339,1795000,5127230
1347,588000,21632550
1357,3428000,7702940
1359,1484000,1438070
1361,50000,215550
1368,335500,3153170
1375,161000,191880
1378,686500,5723810
1381,21000,78430
1382,7000,17810
1385,80000,2032700
1398,24085000,103840750
1415,75000,1209980
1448,35000,212320
1458,712500,2659310
1468,60000,113700
1475,4000,27520
1477,22000,198985
1478,31000,123910
1508,2000,1140
1513,27800,781150
1515,517000,3940860
1516,1309000,4148150
1528,27400,96688
1530,48500,382100
1548,3286000,71427000
1558,18800,136364
1563,108000,613570
1579,210000,4281900
1585,92000,1730960
1600,23000,115610
1610,1866000,3787950
1618,70000,160510
1658,3184000,16187610
1666,36000,271700
1672,163000,418790
1675,16800,245768
1686,26000,117770
1691,28000,201135
1696,800,10176
1717,1000,3860
1735,1000,18000
1755,22000,121490
1760,47000,272770
1765,10000,5900
1766,1547000,7889290
1772,367800,19322770
1773,41000,95390
1776,123400,1408056
1787,32000,549365
1788,16000,10880
1789,56000,615160
1797,369000,11103600
1798,769000,2411140
1799,86800,1850560
1800,530000,2801960
1801,88000,3430050
1810,2213200,26165680
1811,46000,115840
1812,47500,118080
1813,1033500,1165910
1816,2508000,4957650
1818,437000,5795940
1821,236600,3073096
1833,550500,10577240
1860,21000,82090
1866,8000,31760
1873,181000,287300
1876,188000,4440020
1877,77400,2381250
1880,104300,18813210
1882,124000,2594900
1883,40000,131170
1888,317500,2707625
1896,200200,1717476
1898,2487000,16774730
1907,67000,247470
1908,84000,2087050
1910,62700,1568070
1913,500,30100
1918,577000,1126230
1919,4793500,46597960
1928,1468800,42971980
1929,734400,11615296
1951,264000,1374440
1952,106500,1533240
1958,29500,65665
1966,855000,604450
1972,28000,568400
1988,109000,309865
1992,44400,412604
1997,80000,3597850
1999,139600,939108
2001,29000,77980
2002,4000,11200
2005,154000,835400
2007,12796000,27831660
2009,266000,276640
2013,3750000,14775880
2015,512100,46937115
2018,439000,7268940
2020,721800,72348580
2038,52000,43680
2039,6500,33422
2057,3300,751860
2096,430000,4044600
2099,89100,3746040
2121,91900,1840626
2126,5000,17250
2128,33000,229030
2137,827000,3539485
2138,74000,420640
2150,158000,1246745
2155,11000,95530
2158,126000,888740
2160,79000,183240
2162,7000,449050
2171,63000,809740
2172,8000,110860
2186,117500,455980
2190,500,5870
2191,20000,57400
2192,48000,448520
2196,282000,6601375
2197,49000,89630
2202,736500,9261204
2208,29000,192696
2232,1000,3010
2233,58000,60280
2238,422000,2063700
2252,102000,2590325
2255,2762000,4322450
2257,200,11240
2269,426000,21989325
2273,3200,167585
2282,219200,2271216
2285,8700,358265
2313,100500,7880840
2314,363000,1230170
2315,1000,24700
2318,4257000,228138525
2319,276000,8817000
2328,532000,4855420
2331,3236000,194824150
2333,1325000,12359295
2338,644000,7641840
2342,26000,43460
2343,1956000,6324230
2356,1200,7740
2357,1708000,7419220
2359,165900,13156855
2362,355000,216550
2378,250,28050
2380,2687000,8088310
2382,101300,8744645
2386,51000,206390
2388,564000,14248775
2400,121800,2908450
2423,7400,341700
2500,111500,1224510
2588,35400,2215515
2600,410000,1901680
2601,2019800,47993660
2602,4800,171240
2607,8900,139034
2611,17600,178552
2616,35500,124915
2618,206200,2520478
2628,5157000,73975780
2666,23500,122115
2669,45000,387150
2678,21000,122600
2688,182000,20089520
2689,362000,2205640
2727,56000,115500
2777,134000,219180
2778,28000,93530
2799,496000,210800
2800,29598500,607096470
2806,100,5212
2820,100,6796
2822,105600,1453328
2823,870300,12515244
2828,400400,27654496
2845,30450,3239972
2866,54000,57760
2869,390000,1929920
2883,342000,3049640
2888,1950,123065
2899,548000,7607320
3032,200800,807600
3033,14998400,59607310
3037,300,6174
3060,120,9302
3067,1153900,9741441
3069,14300,187028
3070,500,13448
3088,772600,3945143
3109,93900,1082445
3115,200,14632
3134,10100,79814
3135,50,608
3136,14400,177840
3151,85000,705325
3174,500,1565
3188,245000,11660764
3191,7000,332082
3199,540,63204
3306,500,4305
3309,18000,80300
3311,334000,3215260
3316,3000,72550
3319,85250,562947
3320,427500,2906395
3323,500000,3017360
3328,1107000,5731070
3331,37000,820250
3347,39600,2978955
3360,64000,451160
3377,1414000,1107905
3380,365000,379740
3383,1984000,3320300
3396,7400,63696
3403,40,1940
3606,130400,4283880
3613,102000,1614460
3633,31000,186360
3668,300,8940
3669,67500,346260
3690,1234500,172408550
3692,604000,8828480
3709,26000,286260
3738,546000,1598280
3759,102100,3513485
3799,172000,573825
3800,8373000,17278770
3808,84500,990400
3868,142000,314960
3877,10000,13300
3888,783800,27741240
3898,7100,237175
3899,16000,116660
3900,81000,835540
3908,266800,4458096
3913,890000,989630
3918,10000,61980
3931,9400,192076
3933,206000,1305680
3948,12600,201404
3958,100800,471600
3968,864000,35649825
3969,204000,719360
3983,22000,45800
3988,43921000,138636240
3990,33000,316678
3993,891000,4882260
3996,138000,158060
3998,1056000,4224760
6030,644000,10937460
6049,7000,328080
6055,9000,88980
6060,84800,2173880
6066,106500,861430
6069,11500,71775
6078,52200,2984730
6088,219000,402220
6098,3469000,47361900
6099,10200,79738
6100,204600,2090852
6110,575000,4212020
6127,45800,1501735
6160,15100,2327150
6169,202000,282620
6178,35200,200214
6185,52400,2073970
6186,70000,387790
6606,307500,8549850
6608,8000,87680
6616,1000,4450
6618,760200,42341972
*,"4,800","146,850"
6639,56000,752390
6655,6100,52187
6680,400,8420
6689,2400,41088
6690,249200,6247980
6699,12200,1265800
6808,349500,1075800
6818,299000,746440
6821,7800,816180
6823,8000,81620
6830,36000,89400
6837,1209200,6388988
6855,21100,505205
6862,740000,14182340
6865,117000,2553000
6869,43500,756860
6878,4000,558
6881,30500,128460
6886,467600,4840928
6969,1263000,11853590
6978,3000,12030
6988,576000,552680
6996,80500,221475
7200,14407600,65277419
7226,45811300,236145838
7233,185300,1009066
7288,1453900,3737915
7500,3019600,14782193
7552,274200,1817281
7568,118800,1526351
7588,30300,145171
NON-HKD Stock/ETF,9067,ISHARESHSTECH-U,500,541
9618,434700,61300400
9626,411400,65465564
9633,317600,13487700
9658,114000,1871140
9666,39400,474272
9668,508000,650240
9688,88400,2515410
9696,155600,8728630
9698,119800,1883596
NON-HKD Stock/ETF,9845,GX,CN,EV,BATT-U,17850,242075
9858,39000,81990
9863,15500,599765
9866,43430,2847191
9868,1476000,54821570
9869,246500,3009510
9878,300,9255
9886,94000,293225
9888,327450,40776500
9898,3120,414158
9899,6400,456242
9901,220700,7808285
9909,4000,20775
9922,238000,4196600
9923,72000,1580600
9926,114000,4859600
9939,321500,1730390
9955,20200,211752
9959,308000,928015
9961,61100,17702930
9966,122000,1870000
9969,403000,3830660
9979,20000,150260
9987,5650,2819845
9988,4566900,406967455
9989,2000,10940
9990,557000,2937690
9991,6300,78148
9992,921400,17037444
9993,2000,8330
9995,108000,5285200
9996,28000,286480
9997,7500,75820
9999,187600,26905460
