Tickers,#Number of shs,HKD Notional
3191,7450,367388
3306,1500,13185
3309,10000,45820
3311,210000,1925240
3316,9500,232775
3319,96000,646335
3320,518000,3521195
3323,970000,5830380
3328,181000,925550
3331,46000,1020250
3339,16000,22240
3347,42800,3265095
3360,271000,1879860
3377,190000,152405
3380,404000,395920
3383,872000,1501640
3396,3200,27999
3403,1000,49200
3606,29200,946140
3613,64000,962940
3618,35000,103610
3633,47000,273480
3668,105600,3239065
3669,25000,129300
3690,899800,122484400
3692,80000,1199960
3709,18500,205150
3738,705000,2211190
3759,79900,2914505
3799,404000,1342700
3800,7738000,15962010
3808,5000,58450
3866,30000,78000
3868,624000,1406580
3877,84000,109200
3888,604200,21533520
3898,75100,2539915
3899,60000,437960
3900,64500,672220
3908,236000,3953696
3913,546000,610150
3918,14000,86880
3931,131900,2772040
3933,24000,139080
3948,200,3164
3958,18800,88920
3968,756000,31588475
3969,421000,1378140
3988,18594000,58523160
3990,29800,290916
3993,13239000,75055170
3998,1018000,4170980
6030,460500,8041010
6055,5000,50200
6060,87500,2298010
6066,66500,544895
6069,25000,156270
6078,24600,1461920
6088,255000,476540
6098,1013000,14438260
6099,400,3186
6100,325200,3429500
6110,363000,2703650
6127,18900,638580
6160,18000,2866760
6169,346000,477280
6178,21400,122880
6185,112200,4698450
6186,43000,247990
6196,34000,36840
6198,16000,73000
6600,151500,1841010
6606,242500,7154900
6608,33000,373700
6616,174000,797030
6618,233250,13489292
*,100,"3,400"
6639,21500,295990
6655,9500,82130
6660,200,8600
6667,200,2256
6689,187000,3891540
6690,386400,9566580
6699,96800,10466840
6806,78400,126136
6808,263500,835200
6818,65000,160550
6821,2300,245420
6823,709000,7232100
6837,214400,1125616
6855,16300,400635
6862,1077000,21706350
6865,136000,3016300
6869,25000,406950
6878,254000,38346
6881,258000,1098420
6886,316000,3210032
6969,1360000,13304230
6978,39000,154220
6988,681000,694620
6993,31000,153995
6996,49000,142025
7200,13500700,62477549
7226,29957300,162981781
7233,33000,186429
7248,6500,25250
7288,795600,2090857
7299,81700,684332
7333,500,3464
7500,2993500,14391147
7552,3691600,23167446
7568,103300,1312465
7588,72700,338926
NON-HKD Stock/ETF,9067,ISHARESHSTECH-U,50500,56353
9618,241350,35314730
9626,194120,32330484
9633,906400,39023000
9658,96000,1597800
9666,13400,167594
9668,21500,29670
9688,140100,4168720
9696,159600,9351850
9698,1717200,28391220
NON-HKD Stock/ETF,9809,GX,CN,CLN,EN-U,50,720
NON-HKD Stock/ETF,9845,GX,CN,EV,BATT-U,3850,53511
9858,227000,485640
9866,51220,3710637
9868,4490000,188359840
9869,384000,4786930
9888,279700,35555355
9898,1000,135816
9899,700,50620
9901,53900,1686280
9909,114000,612485
9922,372000,6873520
9923,129600,3084300
9926,81000,3563100
9939,192500,1154105
9955,279300,2993412
9959,21000,66835
9961,124000,36658770
9966,38000,625020
9969,279000,2686460
9979,15000,114370
9987,15450,7750690
9988,2714000,254449230
9989,4500,24770
9990,527000,2836950
9991,38500,477004
9992,508800,9654088
9993,2000,8230
9995,112000,5604675
9996,41000,440300
9997,5000,53080
9999,343500,49530950
