Tickers,#Number of shs,HKD Notional
1,128500,6526500
2,91000,5267325
3,356000,2449380
4,14000,253220
5,736400,41194800
6,148500,6478975
8,40000,160870
10,3000,41280
11,28900,3307350
12,351000,9414950
13,68500,1870200
14,12000,273800
16,165000,17798650
17,1309000,27055300
19,119000,6966000
20,40710000,113645140
23,96600,957984
27,2865000,164129700
38,64000,254500
41,2000,31680
50,12000,86000
66,78500,3055350
69,22000,163740
81,958000,4480010
83,204000,2182000
86,1000,3120
87,10000,94700
101,694000,9861480
107,8000,15360
116,3000,31580
119,25000,54440
123,136000,1709100
135,660000,4219440
136,9964000,19092680
142,108000,276040
144,54000,632520
148,65000,1525025
151,310000,1612730
152,223500,1623500
165,16000,91500
168,6000,510100
173,15000,42840
175,4241000,42564910
179,30000,270100
189,126000,1051620
200,140000,1339450
215,54000,73980
220,207000,1618860
241,1666000,9576160
242,24000,35760
257,81000,264260
267,546000,5223260
268,113000,1439440
270,138000,1082040
272,157000,152290
285,25000,586875
286,406000,207060
288,530500,2466390
291,112000,7067100
293,28000,218770
297,10000,10020
302,664000,1729240
303,6800,310545
308,14000,24320
316,109000,18476850
317,74000,752880
322,166000,2211640
323,266000,481540
327,115000,752910
330,45000,30150
336,64000,249170
338,356000,498700
341,16000,180400
345,252000,3758320
347,1554000,4165160
354,1832000,9944460
357,57000,1062560
358,306000,4553780
363,99000,1106560
371,682000,1319640
384,201200,2006866
386,3330000,16867340
388,451800,153643180
390,454000,2581380
392,92500,2883700
405,151000,304580
410,19000,24700
412,139000,673460
419,10000,1370
425,2000,45600
435,6000,19060
440,800,16048
460,278000,233520
467,1294000,1437780
489,144000,532500
512,121500,586530
520,364500,2381185
522,700,50785
546,1057000,4680870
548,44000,322940
551,12500,140790
552,58000,235920
558,1075000,9911125
564,15200,128930
570,70000,294420
576,708000,4776140
579,102000,203820
580,50000,90140
581,762000,1014740
586,251500,3339980
587,708000,1848700
590,10000,257850
598,101000,264080
604,12000,18040
607,3352500,362070
631,44000,369800
636,329000,3777740
639,2000,5320
650,124000,110040
656,355500,2015810
658,135000,383960
659,21000,143210
665,13000,8970
667,31000,130170
669,304500,25275700
670,36000,117120
683,29500,576800
688,537500,11319250
694,12000,70680
696,102000,1605600
697,136000,292600
700,550000,197486080
709,2000,4900
710,208000,2914540
728,150000,657160
732,36000,39660
751,96000,388760
753,764000,5682440
754,54400,390327
762,1602000,9983400
763,673600,16728260
772,53000,2029600
777,225000,3307230
778,42000,277300
780,120800,2140264
788,36416000,36022260
799,1267000,7981190
806,87000,230590
817,2328000,3825580
818,309000,214320
819,24000,228720
823,472300,24405840
826,66000,153800
836,18000,309440
839,14000,101140
853,97900,1865998
855,36000,230540
856,30000,132000
857,6556000,34690660
860,1200000,149960
861,56000,198790
867,119000,1599880
868,1197000,17740040
873,372000,755960
874,12000,310000
880,2606000,10802440
881,233000,8445075
883,2274000,28886680
902,918000,4123840
909,568000,2575520
914,221500,5747025
916,306000,2691960
921,22000,380980
939,17178000,91213910
941,162500,11106650
956,26000,90220
960,698000,16662825
966,20200,174532
968,8742000,77551180
973,17250,342450
981,1502000,35997750
989,5000,2200
990,40000,36600
991,244000,375020
992,1868000,16180580
995,262000,2014120
998,811000,3391450
1024,994000,52174810
1030,1270000,2495680
1033,18000,11880
1038,35500,1559700
1044,49500,1779300
1052,6000,26340
1055,376000,2171100
1060,1000000,537000
1066,55200,749208
1070,36000,124000
1071,170000,608440
1072,11000,130972
1083,1051000,3845040
1088,1248500,32154925
1093,2668000,21553660
1099,782800,20370100
1108,24000,192820
1109,612000,23615300
1112,108500,1440880
1113,190000,8893475
1117,133000,136210
1119,358400,1356660
1121,142000,1122080
1128,3377200,29710544
1133,8000,31120
1137,261000,1236110
1138,690000,6010280
1140,916000,458400
1157,26800,115372
1164,375000,322500
1171,710000,19311400
1176,64000,53120
1177,1876000,8624160
1179,373500,14779370
1183,8000,12240
1186,341000,2154500
1193,6300,165400
1196,62000,344720
1199,132000,652440
1208,3804000,12915960
1209,38400,1631520
1211,716500,163926600
1233,4000,2760
1234,1000,4080
1238,313000,404070
1252,4000,23380
1258,329000,1482720
1268,470000,6280200
1288,4549000,13869220
1299,860000,73754050
1302,90000,271120
1308,307000,5564020
1310,2343500,14719320
1313,396000,1483740
1316,19000,90590
1336,89100,1818835
1339,250000,700500
1347,376000,13990600
1357,356000,807030
1359,189000,185710
1361,108000,458210
1368,180000,1708990
1375,47000,56880
1378,1091500,9387040
1381,38000,136220
1385,66000,1824750
1398,15843000,68128590
1415,278000,4804760
1426,1000,2480
1448,29000,172030
1456,1500,5850
1458,441000,1684515
1468,10000,18400
1475,3000,20610
1477,17500,160600
1478,36000,146840
1513,20000,582295
1515,266500,1944435
1516,389000,1276480
1528,94400,333374
1530,107500,881160
1548,1426000,29496800
1558,14200,105908
1563,5000,28350
1579,620000,13437500
1585,434000,8354640
1600,68500,331585
1610,1236000,2556590
1618,446000,1011330
1658,2872000,14639210
1666,58000,432460
1668,16000,8480
1672,143000,388530
1675,2800,42504
1691,432000,3216245
1696,89600,1188432
1717,1000,3910
1733,420000,577360
1735,1000,18520
1755,115000,658750
1760,43000,247130
1765,780000,468000
1766,958000,4684120
1772,1282400,69163960
1773,91000,211450
1776,166600,1960556
1787,300500,5294275
1788,67000,45560
1789,18000,196280
1797,2198000,70634600
1798,1701000,5277440
1799,105600,2219220
1800,574000,3020460
1801,174500,7155975
1810,3795400,46454408
1811,14000,35900
1812,7000,17430
1813,536000,613680
1816,3334000,6578500
1818,870000,11680770
1821,123000,1604248
1833,329400,6504925
1860,12000,47850
1866,52000,211460
1873,49000,80540
1876,745300,17943895
1877,118000,3663990
1880,224800,42348830
1882,61000,1308550
1883,91000,299110
1888,235000,1953300
1896,92800,831194
1898,2012000,13251940
1899,12000,19680
1907,65000,241960
1908,275000,6838150
1910,175200,4439715
1913,123300,7656935
1918,70000,130000
1919,4599000,44574210
1928,1623200,46411740
1929,649200,10405360
1951,1466500,7921540
1952,551000,8266370
1958,33500,74375
1963,49000,215600
1966,256000,180450
1967,600,12870
1972,90600,1836470
1988,373000,1048070
1992,28200,273494
1997,159000,7129250
1999,72000,489812
2001,27000,69610
2005,96000,508860
2007,17273000,39026610
2009,138000,144900
2013,462000,1920780
2015,413800,40566825
2018,725000,11836270
2020,1257200,126436270
2039,2300,11960
2057,2150,485580
2096,118000,1154860
2098,288000,113760
2099,251800,11010510
2121,148400,3143610
2128,203000,1416440
2137,1248500,5529380
2138,75000,438620
2150,548500,4767135
2155,3000,26670
2157,38000,208280
2158,1870400,13376348
2160,113000,274600
2162,63000,4335400
2163,17100,69534
2171,265000,3689970
2172,46000,678240
2186,47000,182715
2190,46500,546190
2191,241000,695260
2192,70000,696935
2196,67500,1585250
2202,1957400,24674366
2208,373600,2552792
2232,1000,2870
2233,66000,68680
2238,1016000,5030620
2252,61000,1598675
2255,272000,452820
2257,1000,58930
2269,1124000,60847950
2273,8200,443410
2282,1124400,12005600
2285,79800,3149595
2313,522700,41415950
2314,649000,2126200
2315,3000,74425
2318,2102000,115223400
2319,461000,15146100
2328,2010000,17996660
2331,572500,32841525
2333,8077500,78879720
2338,863000,10356700
2342,52000,83580
2343,3945000,12802600
2356,84800,539700
2357,340000,1389210
2359,392300,32313070
2362,918000,575900
2378,6000,682170
2380,1553000,4778910
2382,117400,10582310
2386,164500,658705
2388,353000,8951075
2390,9300,171268
2400,28400,711170
2423,19900,929620
2500,53500,622360
2518,200,11580
2588,10200,634640
2600,1688000,8188900
2601,539000,12958090
2602,30600,1121950
2607,4100,63572
2611,800,8144
2616,5500,20530
2618,617000,7866760
2628,1736000,24571980
2638,62500,310625
2666,31500,156885
2669,15000,132800
2678,1000,5890
2688,30200,3176370
2689,273000,1673760
2727,54000,112340
2777,34000,57376
2778,110000,370300
2799,2081000,895710
2800,10261000,212277030
2801,2200,46516
2806,200,10500
2809,2200,246475
2812,20000,210000
2814,1400,24864
2820,200,13981
2822,222200,3101510
2823,99500,1453312
2827,1200,47732
2828,9007000,631050148
2837,900,4527
2839,500,12650
2845,4050,442535
2869,104000,519260
2883,1322000,11578320
2888,37200,2349217
2899,1370000,19774760
3032,913000,3741477
3033,46106200,187988425
3037,8600,179438
3040,38600,1088948
3067,870200,7576793
3070,4000,107624
3088,874200,4561012
3124,900,40410
3134,11100,89597
3135,200,2609
3136,1000,12480
3147,2000,19360
3151,3400,27792
3160,1400,20258
3174,2600,8450
3175,23800,160173
3188,593400,28669540
